Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
Geeta,Bahujan Samaj Party,11212,20,11232,4.87,Payagpur,287
Mukesh Srivastava,Samajwadi Party,97834,272,98106,42.54,Payagpur,287
Rana Shivam Singh,Indian National Congress,2953,4,2957,1.28,Payagpur,287
Subhash Tripathi,Bharatiya Janata Party,109923,239,110162,47.77,Payagpur,287
Raise Ahmad,All India Majlis-E-Ittehadul Muslimeen,3586,0,3586,1.55,Payagpur,287
CHHOTE LAL,Independent,810,1,811,0.35,Payagpur,287
Ram Swaroop,Independent,1437,0,1437,0.62,Payagpur,287
NOTA,None of the Above,2320,2,2322,1.01,Payagpur,287
OM PRAKASH,Bahujan Samaj Party,27204,82,27286,12.95,Phaphamau,254
ANSAR AHMAD,Samajwadi Party,76343,519,76862,36.47,Phaphamau,254
GURU PRASAD MAURYA,Bharatiya Janata Party,90829,357,91186,43.26,Phaphamau,254
DURGESH PANDEY,Indian National Congress,2379,12,2391,1.13,Phaphamau,254
JITENDRA KUMAR BHARTIYA,Lok Janshakti Party(Ram Vilas),448,0,448,0.21,Phaphamau,254
PANKAJ PANDEY,Akhil Bharatiya Socialist Party,376,4,380,0.18,Phaphamau,254
MANGLA PRASAD PAL,Rashtra Uday Party,513,1,514,0.24,Phaphamau,254
RAJESWARI PATEL,Jan Jan (United) Party,302,0,302,0.14,Phaphamau,254
LAKSHMI NARAYAN,Jansatta Dal Loktantrik,2893,4,2897,1.37,Phaphamau,254
VINOD KUMAR,Yuva Vikas Party,572,0,572,0.27,Phaphamau,254
SUBHASH CHANDRA,Samyak Party,211,0,211,0.1,Phaphamau,254
SANJAYA KUMAR YADAV,Right to Recall Party,307,1,308,0.15,Phaphamau,254
SANJAY PRAKASH SHUKLA,Aam Aadmi Party,465,2,467,0.22,Phaphamau,254
GYAN PRAKASH MOURYA,Jan Adhikar Party,1618,4,1622,0.77,Phaphamau,254
UDAIBHAN SINGH YADEV,Independent,513,1,514,0.24,Phaphamau,254
DILIP KUMAR KUSHWAHA,Independent,1264,0,1264,0.6,Phaphamau,254
PARUL JAISWAL,Independent,635,0,635,0.3,Phaphamau,254
PRAVEEN KUMAR,Independent,560,0,560,0.27,Phaphamau,254
MITHLESH KUMAR PRAJAPATI,Independent,1172,3,1175,0.56,Phaphamau,254
VINOD KUMAR PANDEY,Independent,418,0,418,0.2,Phaphamau,254
SHIVENDRA KUMAR,Independent,244,0,244,0.12,Phaphamau,254
NOTA,None of the Above,515,2,517,0.25,Phaphamau,254
Ishoo Chaurasiya,Bahujan Samaj Party,21545,120,21665,10.24,Pharenda,315
Bajrang Bahadur Singh,Bharatiya Janata Party,83668,267,83935,39.69,Pharenda,315
Virendra Chaudhary,Indian National Congress,84755,426,85181,40.28,Pharenda,315
Shankhlal,Samajwadi Party,16130,327,16457,7.78,Pharenda,315
Jaili,Aam Janta Party (India),514,0,514,0.24,Pharenda,315
RAVI PRAKASH VISHWAKARMA,Lok Samaj Party,463,1,464,0.22,Pharenda,315
Rajan,Aam Aadmi Party,437,0,437,0.21,Pharenda,315
Suryaprakash,Akhil Bharatiya Socialist Party,720,0,720,0.34,Pharenda,315
Ashutosh,Independent,633,0,633,0.3,Pharenda,315
NOTA,None of the Above,1484,0,1484,0.7,Pharenda,315
UPENDRA TIWARI,Bharatiya Janata Party,72478,684,73162,38.57,Phephana,360
KAMAL DEV,Bahujan Samaj Party,14077,77,14154,7.46,Phephana,360
JAINENDRA,Indian National Congress,2208,21,2229,1.18,Phephana,360
SANGRAM SINGH,Samajwadi Party,91563,953,92516,48.78,Phephana,360
AVADHESH VERMA,Bahujan Mukti Party,780,7,787,0.41,Phephana,360
AVALESH,Janata Dal  (United),618,3,621,0.33,Phephana,360
DINESH,Rashtriya Yuva Morcha Dal,152,0,152,0.08,Phephana,360
PAWAN PRAKASH,Jan Adhikar Party,670,3,673,0.35,Phephana,360
BHIM,Bharatiya Suheldev Janata Party,414,2,416,0.22,Phephana,360
MANNU,Naitik Party,321,1,322,0.17,Phephana,360
VIVEK,Vikassheel Insaan Party,2250,6,2256,1.19,Phephana,360
JANARDAN SINGH,Independent,460,1,461,0.24,Phephana,360
SHAMIM,Independent,415,0,415,0.22,Phephana,360
SANTOSH,Independent,381,0,381,0.2,Phephana,360
NOTA,None of the Above,1112,5,1117,0.59,Phephana,360
RAMAKANT,Samajwadi Party,80394,770,81164,42,Phoolpur-Pawai,349
RAM SURAT,Bharatiya Janata Party,55647,211,55858,28.91,Phoolpur-Pawai,349
SHAKEEL AHMAD,Bahujan Samaj Party,49285,210,49495,25.61,Phoolpur-Pawai,349
MO SHAHID,Indian National Congress,1555,3,1558,0.81,Phoolpur-Pawai,349
AMIT KUMAR,Aazad Samaj Party (Kanshi Ram),327,2,329,0.17,Phoolpur-Pawai,349
KIRAN,Aam Aadmi Party,144,1,145,0.08,Phoolpur-Pawai,349
PRADEEP,Sarva Samaj Janata Party,203,0,203,0.11,Phoolpur-Pawai,349
YOGENDRA PRATAP,Jan Adhikar Party,1527,2,1529,0.79,Phoolpur-Pawai,349
JITENDRA KUMAR,Independent,238,1,239,0.12,Phoolpur-Pawai,349
PARAS NATH,Independent,317,1,318,0.16,Phoolpur-Pawai,349
RAM AVTAR,Independent,820,1,821,0.42,Phoolpur-Pawai,349
SANJAY,Independent,524,3,527,0.27,Phoolpur-Pawai,349
NOTA,None of the Above,1056,2,1058,0.55,Phoolpur-Pawai,349
Praveen Patel,Bharatiya Janata Party,103014,543,103557,42,Phulpur,256
Mohd.Mujataba Siddiqui,Samajwadi Party,99920,905,100825,40.89,Phulpur,256
Ram Taulan Yadav,Bahujan Samaj Party,32869,167,33036,13.4,Phulpur,256
Siddhanath Maurya,Indian National Congress,1600,26,1626,0.66,Phulpur,256
Dr.Ashok Maurya,Peoples Party of India (Democratic),835,2,837,0.34,Phulpur,256
Tahseen Ahmad,Akhil Bharatiya Socialist Party,205,1,206,0.08,Phulpur,256
Mridula Singh,Jan Adhikar Party,801,4,805,0.33,Phulpur,256
Rakesh Kumar,Loktantrik Janwadi Party,313,0,313,0.13,Phulpur,256
Ram Surat,Aam Aadmi Party,394,4,398,0.16,Phulpur,256
Shyam Sundar Pal,Rashtriya Samaj Paksha,678,4,682,0.28,Phulpur,256
Salik Ram,Bhartiya Kamgar Party,506,0,506,0.21,Phulpur,256
Sandeep Kumar,Bharat Vaibhav Party,244,0,244,0.1,Phulpur,256
Bhanu Pratap Singh,Independent,522,0,522,0.21,Phulpur,256
Vimal Kumar Gupta,Independent,683,0,683,0.28,Phulpur,256
Hari Lal Sahu,Independent,800,0,800,0.32,Phulpur,256
NOTA,None of the Above,1543,5,1548,0.63,Phulpur,256
SHAKEEL AHMAD NOORI,Indian National Congress,1038,4,1042,0.4,Pilibhit,127
SHANE ALI,Bahujan Samaj Party,11961,138,12099,4.64,Pilibhit,127
SHAILENDRA SINGH GANGWAR,Samajwadi Party,117152,1384,118536,45.41,Pilibhit,127
SANJAY SINGH GANGWAR,Bharatiya Janata Party,124782,724,125506,48.08,Pilibhit,127
ARVIND YADAV,Sarv Samaj Party,915,1,916,0.35,Pilibhit,127
BELA MATI,Bharatiya Subhash Sena,321,1,322,0.12,Pilibhit,127
MOTI RAM RAJPOOT,Sabka Dal United,547,1,548,0.21,Pilibhit,127
IKRAR HUSAIN,Independent,412,1,413,0.16,Pilibhit,127
MOHD SHARIK,Independent,437,2,439,0.17,Pilibhit,127
NOTA,None of the Above,1181,7,1188,0.46,Pilibhit,127
AJAY,Indian National Congress,48047,201,48248,21.88,Pindra,384
AWADHESH KUMAR SINGH,Bharatiya Janata Party,84128,197,84325,38.23,Pindra,384
BABULAL,Bahujan Samaj Party,48588,178,48766,22.11,Pindra,384
AMARNATH SINGH,Aam Aadmi Party,1977,7,1984,0.9,Pindra,384
Rajesh Kumar Singh,Apna Dal (Kamerawadi),32798,222,33020,14.97,Pindra,384
SHRIPRAKASH,Independent,1626,2,1628,0.74,Pindra,384
NOTA,None of the Above,2575,1,2576,1.17,Pindra,384
AMRENDRA NISHAD,Samajwadi Party,76007,416,76423,29.57,Pipraich,321
DR. ASHISH KUMAR SINGH,Communist Party of India,1237,3,1240,0.48,Pipraich,321
DEEPAK KUMAR AGARWAL,Bahujan Samaj Party,30871,83,30954,11.98,Pipraich,321
MAHENDRA PAL SINGH,Bharatiya Janata Party,141464,316,141780,54.86,Pipraich,321
SUMAN CHAUHAN,Indian National Congress,1967,4,1971,0.76,Pipraich,321
AVINASH PRATAP PRAJAPATI,Lokpriya Samaj Party,655,0,655,0.25,Pipraich,321
AMOD KUMAR BHATT,Bharatiya Apna Samaj Party,221,0,221,0.09,Pipraich,321
DHIRENDRA PRATAP JAISWAL,Aam Aadmi Party,329,1,330,0.13,Pipraich,321
NAZIM,Jan Adhikar Party,514,0,514,0.2,Pipraich,321
VIJAY KUMAR BHARTI,Rashtravadi Vikas Party,289,1,290,0.11,Pipraich,321
ARUN KUMAR,Independent,416,0,416,0.16,Pipraich,321
AZAD ALI,Independent,976,0,976,0.38,Pipraich,321
NARENDRA NATH MAURYA,Independent,642,0,642,0.25,Pipraich,321
SUBHASH CHANDRA GUPTA,Independent,716,1,717,0.28,Pipraich,321
NOTA,None of the Above,1309,4,1313,0.51,Pipraich,321
ANUJ KUMRI,Indian National Congress,2488,5,2493,1.07,Powayan,134
UDAYVEER SINGH,Bahujan Samaj Party,16766,33,16799,7.2,Powayan,134
UPENDRA PAL SINGH,Samajwadi Party,78010,197,78207,33.52,Powayan,134
CHETRAM,Bharatiya Janata Party,129636,149,129785,55.62,Powayan,134
AMIT KUMAR,Lok Janshakti Party(Ram Vilas),1359,0,1359,0.58,Powayan,134
CHAMPATI,Bharatiya Subhash Sena,454,1,455,0.2,Powayan,134
MAHESH CHANDRA SAGAR,Aazad Samaj Party (Kanshi Ram),474,0,474,0.2,Powayan,134
DIVAKER LAL,Independent,463,1,464,0.2,Powayan,134
MAHENDRA SINGH,Independent,629,0,629,0.27,Powayan,134
RAMPAL,Independent,625,1,626,0.27,Powayan,134
SUDHA DEVI,Independent,666,1,667,0.29,Powayan,134
NOTA,None of the Above,1366,1,1367,0.59,Powayan,134
ASHUTOSH TRIPATHI,Bahujan Samaj Party,19106,143,19249,9.82,Pratapgarh,248
NEERAJ TRIPATHI,Indian National Congress,6219,107,6326,3.23,Pratapgarh,248
RAJENDRA KUMAR,Bharatiya Janata Party,89224,538,89762,45.8,Pratapgarh,248
ISRAR AHMAD,All India Majlis-E-Ittehadul Muslimeen,6469,11,6480,3.31,Pratapgarh,248
KRISHNA PATEL,Apna Dal (Kamerawadi),64049,650,64699,33.01,Pratapgarh,248
DINESH KUMAR UPADHYAY,Aam Aadmi Party,953,7,960,0.49,Pratapgarh,248
Bajrangi Lal,Kisan Party (Loktantrik),560,0,560,0.29,Pratapgarh,248
MOHAMMAD IRSHAD,Apana Dal Balihari Party,315,1,316,0.16,Pratapgarh,248
RAM AJOR,Bahujan Mukti Party,915,5,920,0.47,Pratapgarh,248
Ram Bahadur Sharma,Moulik Adhikar Party,1532,1,1533,0.78,Pratapgarh,248
ASHOK KUMAR,Independent,1322,2,1324,0.68,Pratapgarh,248
Paritosh Kumar,Independent,1309,3,1312,0.67,Pratapgarh,248
HARIKESH KUMAR,Independent,1201,3,1204,0.61,Pratapgarh,248
NOTA,None of the Above,1328,8,1336,0.68,Pratapgarh,248
GHANSHYAM PANDEY,Bahujan Samaj Party,34813,99,34912,15.36,Pratappur,257
VIJAMA YADAV,Samajwadi Party,90582,560,91142,40.09,Pratappur,257
SANJAY TIWARI,Indian National Congress,2957,14,2971,1.31,Pratappur,257
ARVIND KUMAR VISHWAKARMA,Samyak Party,413,0,413,0.18,Pratappur,257
MOHD AHMAD ANSARI,Peace Party,2140,3,2143,0.94,Pratappur,257
AFATAB ALAM,Aazad Samaj Party (Kanshi Ram),1373,0,1373,0.6,Pratappur,257
KAMAL,Vikassheel Insaan Party,1162,1,1163,0.51,Pratappur,257
GITA DEVI,Bhartiya Kamgar Party,420,3,423,0.19,Pratappur,257
GHANSHYAM,Shiv Sena,264,0,264,0.12,Pratappur,257
DURVIJAY SINGH,Pragatisheel Manav Samaj Party,536,1,537,0.24,Pratappur,257
NAREND KUMAR,Peoples Party of India (Democratic),1281,1,1282,0.56,Pratappur,257
MANJU MAURYA,Jan Adhikar Party,3099,7,3106,1.37,Pratappur,257
RAKESH DHAR TRIPATHI,Apna Dal (Soneylal),80009,177,80186,35.27,Pratappur,257
VINOD KUMAR,Janadhar Shakti Party,547,3,550,0.24,Pratappur,257
SUJEET KUMAR,Bharat Vaibhav Party,692,1,693,0.3,Pratappur,257
SANJU DEVI,Pragatisheel Samaj Party,1939,0,1939,0.85,Pratappur,257
HARISHCHANDRA,Aam Aadmi Party,779,0,779,0.34,Pratappur,257
KRIPA SHANKAR YADAV,Independent,672,0,672,0.3,Pratappur,257
ZIAOUL HAQUE,Independent,413,0,413,0.18,Pratappur,257
DHARMENDRA KUMAR,Independent,155,1,156,0.07,Pratappur,257
FAZLUR RAHMAN,Independent,180,0,180,0.08,Pratappur,257
RAMESH CHANDRA,Independent,340,0,340,0.15,Pratappur,257
RAM KAILASH,Independent,231,0,231,0.1,Pratappur,257
VIKASH YADAV,Independent,512,0,512,0.23,Pratappur,257
HIRA MANI,Independent,329,0,329,0.14,Pratappur,257
NOTA,None of the Above,653,1,654,0.29,Pratappur,257
ASHOK KUMAR RAJA,Bahujan Samaj Party,15994,66,16060,5.99,Puranpur,129
ARTI,Samajwadi Party,107387,441,107828,40.21,Puranpur,129
ISHWAR DAYAL PASWAN,Indian National Congress,2050,4,2054,0.77,Puranpur,129
BABURAM,Bharatiya Janata Party,134204,200,134404,50.12,Puranpur,129
KAMLESH KUMAR,Log Party,1270,1,1271,0.47,Puranpur,129
RAKESH DAVID,Rashtriya Teesara Vikalp Party,350,0,350,0.13,Puranpur,129
RAMESHWAR DAYAL,Bharatiya Subhash Sena,369,1,370,0.14,Puranpur,129
AMIT KUMAR,Independent,380,0,380,0.14,Puranpur,129
DEEPTI VERMA,Independent,2511,7,2518,0.94,Puranpur,129
RAMPAL,Independent,681,1,682,0.25,Puranpur,129
VINOD KUMAR BHARTI,Independent,717,0,717,0.27,Puranpur,129
NOTA,None of the Above,1542,1,1543,0.58,Puranpur,129
Anil Kumar,Rashtriya Lok Dal,92327,345,92672,43.09,Purqazi,13
Deepak Kumar,Indian National Congress,1749,13,1762,0.82,Purqazi,13
Pramod Utwal,Bharatiya Janata Party,85687,453,86140,40.05,Purqazi,13
Surendra Pal Singh,Bahujan Samaj Party,27700,78,27778,12.91,Purqazi,13
Anil Kumar,Aam Aadmi Party,586,6,592,0.28,Purqazi,13
Uma Kiran,Aazad Samaj Party (Kanshi Ram),2314,7,2321,1.08,Purqazi,13
Kavita,Bahujan Mukti Party,688,1,689,0.32,Purqazi,13
Sunita,Majdoor Kisan Union Party,327,0,327,0.15,Purqazi,13
Neelam Devi,Independent,646,0,646,0.3,Purqazi,13
Mukesh Kumar,Independent,884,0,884,0.41,Purqazi,13
Suneel Kumar,Independent,353,0,353,0.16,Purqazi,13
NOTA,None of the Above,918,3,921,0.43,Purqazi,13
ANIL KUMAR SINGH,Bharatiya Janata Party,133687,140,133827,52.27,Purwa,167
UDAY RAJ,Samajwadi Party,102373,393,102766,40.14,Purwa,167
UROOSA IMRAN RANA,Indian National Congress,1876,2,1878,0.73,Purwa,167
VINOD KUMAR,Bahujan Samaj Party,10524,33,10557,4.12,Purwa,167
ASHISH BAJPAI,Manviya Bharat Party,319,1,320,0.12,Purwa,167
KULDEEP KUMAR,Aam Aadmi Party,272,4,276,0.11,Purwa,167
JAGANNATH,Lok Dal,250,0,250,0.1,Purwa,167
VED PRAKASH,Lok Janshakti Party(Ram Vilas),278,0,278,0.11,Purwa,167
Sant Kumar,Bhartiya Samta Party,344,1,345,0.13,Purwa,167
ANIL,Independent,477,0,477,0.19,Purwa,167
MOHD ASHFAK,Independent,615,0,615,0.24,Purwa,167
SURENDRA KUMAR,Independent,605,0,605,0.24,Purwa,167
Harshit Tiwari,Independent,1215,0,1215,0.47,Purwa,167
NOTA,None of the Above,2608,1,2609,1.02,Purwa,167
ADITI SINGH,Bharatiya Janata Party,101974,455,102429,44.51,RaeBareli,180
MO. ASHRAF,Bahujan Samaj Party,9272,59,9331,4.06,RaeBareli,180
DR. MANISH CHAUHAN,Indian National Congress,14884,70,14954,6.5,RaeBareli,180
RAM PRATAP YADAV,Samajwadi Party,94294,960,95254,41.4,RaeBareli,180
GAURAV SINGH,Aam Aadmi Party,868,4,872,0.38,RaeBareli,180
PHOOLCHANDRA,Communist Party of India  (Marxist-Leninist)  (Liberation),360,1,361,0.16,RaeBareli,180
MANSINGH PATEL,Akhil Bhartiya Apna Dal,376,2,378,0.16,RaeBareli,180
RAGHVENDRA,Hindustan Samaj Party,215,1,216,0.09,RaeBareli,180
RADHE SHYAM,Jan Adhikar Party,1331,5,1336,0.58,RaeBareli,180
SURYANATH,Aazad Samaj Party (Kanshi Ram),335,1,336,0.15,RaeBareli,180
KULDEEP YADAV,Independent,328,0,328,0.14,RaeBareli,180
MAHMOOD AHMAD,Independent,939,0,939,0.41,RaeBareli,180
RAM BAHADUR,Independent,583,1,584,0.25,RaeBareli,180
SARTAJ ALI,Independent,501,0,501,0.22,RaeBareli,180
NOTA,None of the Above,2277,4,2281,0.99,RaeBareli,180
FAREED MAHFOOZ KIDWAI,Samajwadi Party,98239,560,98799,41.96,RamNagar,267
RAM KISHOR,Bahujan Samaj Party,23173,86,23259,9.88,RamNagar,267
SHARAD KUMAR AWASTHI,Bharatiya Janata Party,98303,235,98538,41.85,RamNagar,267
GYANESH SHUKLA,Indian National Congress,4424,6,4430,1.88,RamNagar,267
ARUN KUMAR,All India Majlis-E-Ittehadul Muslimeen,4935,5,4940,2.1,RamNagar,267
USHA DWIVEDI,"Bhartiya Drishtigochar Party,",318,0,318,0.14,RamNagar,267
DHARAMVEER SINGH,Aam Aadmi Party,694,0,694,0.29,RamNagar,267
VIRENDRA KUMAR PATEL,Aazad Samaj Party (Kanshi Ram),465,1,466,0.2,RamNagar,267
SUBHASH CHANDRA,Shiv Sena,554,1,555,0.24,RamNagar,267
NEERAJ SHARMA,Independent,1053,1,1054,0.45,RamNagar,267
RAM DAYAL,Independent,586,0,586,0.25,RamNagar,267
NOTA,None of the Above,1820,2,1822,0.77,RamNagar,267
VIJAY KUMAR,Bahujan Samaj Party,22964,74,23038,10.76,Ramkola,335
VINAY PRAKASH GOND,Bharatiya Janata Party,124613,179,124792,58.27,Ramkola,335
SHAMBHU CHAUDHRY,Indian National Congress,4068,12,4080,1.91,Ramkola,335
NAGINA PASWAN ADVOCATE,Lok Janshakti Party(Ram Vilas),1797,5,1802,0.84,Ramkola,335
PURNMASI DEHATI,Suheldev Bharatiya Samaj Party,51835,414,52249,24.4,Ramkola,335
PRATIMA DEVI,Satya Kranti Party,1194,0,1194,0.56,Ramkola,335
RAJESH PARASD,Jan Adhikar Party (Loktantrik),1312,0,1312,0.61,Ramkola,335
VIMLA DEVI,Bahujan Mukti Party,402,0,402,0.19,Ramkola,335
SHAMBHU KUMAR (ADVOCATE),Aam Aadmi Party,651,1,652,0.3,Ramkola,335
GAUTAM,Independent,585,1,586,0.27,Ramkola,335
CHANDRABHAN,Independent,851,1,852,0.4,Ramkola,335
PINTOO,Independent,1160,1,1161,0.54,Ramkola,335
NOTA,None of the Above,2031,1,2032,0.95,Ramkola,335
Akash Saxena (Honey),Bharatiya Janata Party,75666,418,76084,34.62,Rampur,37
Mohammad Azam Khan,Samajwadi Party,130528,697,131225,59.71,Rampur,37
Nawab Kazim Ali Khan,Indian National Congress,3990,10,4000,1.82,Rampur,37
Sadaqat Hussain,Bahujan Samaj Party,4888,52,4940,2.25,Rampur,37
Faisal Khan,Aam Aadmi Party,1805,12,1817,0.83,Rampur,37
Javed Khan,Independent,197,0,197,0.09,Rampur,37
Habib Ul Zafar Khan,Independent,326,0,326,0.15,Rampur,37
NOTA,None of the Above,1167,1,1168,0.53,Rampur,37
ANAND PRAKASH CHAURASIA,Communist Party of India,1512,3,1515,0.73,RampurKarkhana,339
PUSHPA SHAHI,Bahujan Samaj Party,30327,166,30493,14.74,RampurKarkhana,339
FASIHA MANZAR GHAZALA LARI,Samajwadi Party,75211,861,76072,36.76,RampurKarkhana,339
SHAHLA AHRARI,Indian National Congress,2000,16,2016,0.97,RampurKarkhana,339
SURENDRA CHAURASIA,Bharatiya Janata Party,90222,520,90742,43.85,RampurKarkhana,339
INDRAMOHAN,Moulik Adhikar Party,1178,0,1178,0.57,RampurKarkhana,339
KAUSHAL KISHORE MANI ALIAS MADHAVJI,Aam Aadmi Party,535,6,541,0.26,RampurKarkhana,339
DEENANATH KUSHWAHA,Jan Adhikar Party,950,7,957,0.46,RampurKarkhana,339
FIROJ,Independent,485,0,485,0.23,RampurKarkhana,339
SURENDR,Independent,743,0,743,0.36,RampurKarkhana,339
SURESH,Independent,733,4,737,0.36,RampurKarkhana,339
NOTA,None of the Above,1431,5,1436,0.69,RampurKarkhana,339
"Aradhana Mishra, Mona",Indian National Congress,83652,682,84334,50.27,RampurKhas,244
NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,69346,247,69593,41.49,RampurKhas,244
BANKELAL PATEL,Bahujan Samaj Party,4870,44,4914,2.93,RampurKhas,244
AJEET,Aam Aadmi Party,343,4,347,0.21,RampurKhas,244
AWADHESH,Apana Dal Balihari Party,239,0,239,0.14,RampurKhas,244
KARAN ALIS KARAN BAHADUR SINGH,Rashtriya Rashtrawadi Party,232,0,232,0.14,RampurKhas,244
DURGESH KUMAR,Lok Dal,284,0,284,0.17,RampurKhas,244
Ravindra Kumar,Sarvodaya Bharat Party,406,0,406,0.24,RampurKhas,244
RAMRAJ SAROJ,Bahujan Mukti Party,1371,12,1383,0.82,RampurKhas,244
Lalji,Janata Dal  (United),300,1,301,0.18,RampurKhas,244
SAMAY NATH,Moulik Adhikar Party,639,1,640,0.38,RampurKhas,244
Surendra Singh,Shiv Sena,485,0,485,0.29,RampurKhas,244
KULDEEP SINGH,Independent,649,0,649,0.39,RampurKhas,244
DEVENDR PRATAP,Independent,1509,0,1509,0.9,RampurKhas,244
NOTA,None of the Above,2436,2,2438,1.45,RampurKhas,244
OMPAL SINGH,Indian National Congress,1539,5,1544,0.66,RampurManiharan,6
Devender Kumar Nim,Bharatiya Janata Party,88653,456,89109,38.37,RampurManiharan,6
RAVINDRA KUMAR,Bahujan Samaj Party,68227,289,68516,29.5,RampurManiharan,6
VIVEK KANT,Rashtriya Lok Dal,64710,154,64864,27.93,RampurManiharan,6
ARVIND KUMAR,Aam Aadmi Party,567,6,573,0.25,RampurManiharan,6
JAI PAL SINGH,Lok Dal,248,0,248,0.11,RampurManiharan,6
BRIJPAL SINGH,Aazad Samaj Party (Kanshi Ram),4597,9,4606,1.98,RampurManiharan,6
SACHIN KUMAR,India Janshakti Party,928,1,929,0.4,RampurManiharan,6
D. P. SINGH,Bahujan Mukti Party,1173,1,1174,0.51,RampurManiharan,6
NOTA,None of the Above,669,1,670,0.29,RampurManiharan,6
AJAY YADAV,Bahujan Samaj Party,21301,110,21411,11.35,Raniganj,250
ABDUL WAHID,Indian National Congress,1079,6,1085,0.57,Raniganj,250
ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,72571,363,72934,38.65,Raniganj,250
RAKESH KUMAR VERMA ALIAS DR. R. K. VERMA,Samajwadi Party,74940,643,75583,40.05,Raniganj,250
ANIL KUMAR,All India Majlis-E-Ittehadul Muslimeen,11719,29,11748,6.23,Raniganj,250
ANURAG MISHRA,Aam Aadmi Party,684,8,692,0.37,Raniganj,250
DHARMENDRA KUMAR,Aazad Samaj Party (Kanshi Ram),564,0,564,0.3,Raniganj,250
BRIJLAL,Bahujan Mukti Party,304,2,306,0.16,Raniganj,250
RAMFER PANDEY,Meydhaa Party,293,0,293,0.16,Raniganj,250
SATYA PRAKASH,Atal Janshakti Party,528,1,529,0.28,Raniganj,250
SANJAY KUMAR ALIAS SANJAY RAJ PATEL,Janata Dal  (United),525,1,526,0.28,Raniganj,250
HARISHANKAR PRAJAPATI,Bharatrashtra Democratic Party,678,1,679,0.36,Raniganj,250
RAJESH KUMAR,Independent,745,1,746,0.4,Raniganj,250
LAL BAHADUR,Independent,480,0,480,0.25,Raniganj,250
NOTA,None of the Above,1138,1,1139,0.6,Raniganj,250
UMASHANKAR SINGH,Bahujan Samaj Party,87345,542,87887,43.82,Rasara,358
BABBAN,Bharatiya Janata Party,23911,324,24235,12.08,Rasara,358
RAJ URF OMLATA RAJ,Indian National Congress,1274,20,1294,0.65,Rasara,358
CHANDAN,Aazad Samaj Party (Kanshi Ram),2594,11,2605,1.3,Rasara,358
MAHENDRA,Suheldev Bharatiya Samaj Party,80681,623,81304,40.54,Rasara,358
ASHOK,Independent,661,1,662,0.33,Rasara,358
RAJARAM,Independent,259,0,259,0.13,Rasara,358
RAM ASHISH RAM,Independent,411,0,411,0.2,Rasara,358
SANTOSH KUMAR PANDEY,Independent,576,0,576,0.29,Rasara,358
NOTA,None of the Above,1335,4,1339,0.67,Rasara,358
Kamlesh Chandra Diwakar,Samajwadi Party,69904,367,70271,35.8,Rasulabad,205
Poonam Sankhwar,Bharatiya Janata Party,91561,222,91783,46.77,Rasulabad,205
Manorama,Indian National Congress,1305,5,1310,0.67,Rasulabad,205
Sima  Singh,Bahujan Samaj Party,28104,85,28189,14.36,Rasulabad,205
Om Prakash,Bahujan Mukti Party,417,1,418,0.21,Rasulabad,205
Rakesh Babu,Voters Party  International,255,1,256,0.13,Rasulabad,205
B.D. Kamalvanshi,Independent,503,0,503,0.26,Rasulabad,205
Neelam,Independent,499,1,500,0.25,Rasulabad,205
Ram Sajeevan,Independent,357,0,357,0.18,Rasulabad,205
Ram Sumer,Independent,421,0,421,0.21,Rasulabad,205
Santoshi Lal Kamal,Independent,954,1,955,0.49,Rasulabad,205
NOTA,None of the Above,1298,0,1298,0.66,Rasulabad,205
KAMLESH KUMAR VERMA,Indian National Congress,5159,5,5164,1.99,Rath,229
CHANDRAWATI VERMA,Samajwadi Party,76746,648,77394,29.87,Rath,229
PRASANNA BHUSHAN,Bahujan Samaj Party,24221,45,24266,9.37,Rath,229
MANISHA,Bharatiya Janata Party,139105,268,139373,53.79,Rath,229
DHARMENDRA SINGH GAUTAM,Bhartiya Shakti Chetna Party,3021,0,3021,1.17,Rath,229
MATADEEN,Bahujan Mukti Party,2075,2,2077,0.8,Rath,229
NARENDRA KUMAR,Independent,1584,1,1585,0.61,Rath,229
PREETI KANNOJEYA,Independent,1960,0,1960,0.76,Rath,229
NOTA,None of the Above,4258,10,4268,1.65,Rath,229
AVINASH KUSHWAHA,Samajwadi Party,78449,426,78875,37.61,Robertsganj,401
AVINASH SHUKLA,Bahujan Samaj Party,32799,88,32887,15.68,Robertsganj,401
Kamlesh Kumar,Indian National Congress,2478,3,2481,1.18,Robertsganj,401
Bhupesh Chaubey,Bharatiya Janata Party,84354,142,84496,40.29,Robertsganj,401
Vijay Shanker Yadav,Communist Party of India,2557,0,2557,1.22,Robertsganj,401
Athar,Peace Party,691,0,691,0.33,Robertsganj,401
Kiran Devi,Jan Adhikar Party,1047,3,1050,0.5,Robertsganj,401
Kuldeep Agrawal,Aam Aadmi Party,1125,1,1126,0.54,Robertsganj,401
HARENDRA MISHRA,"Rashtrawadi Party of India,",770,0,770,0.37,Robertsganj,401
Om Prakash,Independent,1179,0,1179,0.56,Robertsganj,401
NOTA,None of the Above,3612,0,3612,1.72,Robertsganj,401
